weekNumber,dayOfWeek,dateKey,title,declared,actual,diff
1,1,2026-01-01,A Fresh Start Can Happen Anytime,608,511,97
1,2,2026-01-02,"Intentions, Not Pressure",612,488,124
1,3,2026-01-03,Why Starting Again Works,601,517,84
1,4,2026-01-04,Letting Go to Begin Again,605,516,89
2,1,2026-01-05,The Perfect Morning,518,456,62
2,2,2026-01-06,The Early Bird Advantage,524,471,53
2,3,2026-01-07,Breakfast Conversations,511,450,61
2,4,2026-01-08,Moving Your Body at Dawn,527,476,51
2,5,2026-01-09,Mindful Mornings,516,449,67
2,6,2026-01-10,The Art of the Slow Morning,509,488,21
2,7,2026-01-11,When Routines Go Wrong,513,463,50
3,1,2026-01-12,Getting Around: Commute Stories,498,436,62
3,2,2026-01-13,Walking and Cycling to Work,492,491,1
3,3,2026-01-14,Remote Work Days,505,495,10
3,4,2026-01-15,Commuting Etiquette,487,488,-1
3,5,2026-01-16,Driving to Work,495,454,41
3,6,2026-01-17,Long-Distance Commuters,501,474,27
3,7,2026-01-18,The Future of Getting to Work,496,468,28
4,1,2026-01-19,Where I Live: Describing Your Home,490,512,-22
4,2,2026-01-20,Renting vs. Buying,494,486,8
4,3,2026-01-21,Decluttering and Minimalism,488,488,0
4,4,2026-01-22,Neighbors and Community,486,470,16
4,5,2026-01-23,Home Cooking and the Kitchen,491,497,-6
4,6,2026-01-24,Interior Design and Personal Style,489,502,-13
4,7,2026-01-25,"Home, Rest, and Reflection",493,544,-51
5,1,2026-01-26,Why People Celebrate,487,476,11
5,2,2026-01-27,Traditions That Still Feel Alive,490,485,5
5,3,2026-01-28,Gifts and Giving,484,484,0
5,4,2026-01-29,Family Gatherings,486,487,-1
5,5,2026-01-30,Food and Festival Memory,488,518,-30
5,6,2026-01-31,"Music, Dance, and Celebration",485,517,-32
5,7,2026-02-01,Carrying Celebration into Everyday Life,487,524,-37
6,1,2026-02-02,Let's Eat: Food Preferences and Habits,488,495,-7
6,2,2026-02-03,Eating Out and Restaurant Culture,485,552,-67
6,3,2026-02-04,Street Food and Local Eats,484,489,-5
6,4,2026-02-05,Healthy Eating and Diets,486,545,-59
6,5,2026-02-06,Food Memories and Family Recipes,487,517,-30
6,6,2026-02-07,International Cuisine and Fusion,487,548,-61
6,7,2026-02-08,Food Trends and the Future of Eating,489,500,-11
7,1,2026-02-09,The Weather Today,490,356,134
7,2,2026-02-10,Surviving the Rainy Season,488,358,130
7,3,2026-02-11,How Weather Shapes Culture,492,361,131
7,4,2026-02-12,Climate Anxiety and Everyday Action,495,397,98
7,5,2026-02-13,Storm Stories and Weather Memories,487,387,100
7,6,2026-02-14,Weather and Romance,491,403,88
7,7,2026-02-15,Dream Destinations by Season,489,375,114
8,1,2026-02-16,Spending Habits and What They Reveal,491,370,121
8,2,2026-02-17,Budgeting and the Art of Saving,490,431,59
8,3,2026-02-18,The Psychology of Spending,488,404,84
8,4,2026-02-19,Negotiating and Getting a Good Deal,487,406,81
8,5,2026-02-20,Financial Goals and Building a Future,489,414,75
8,6,2026-02-21,"Tipping, Gifting, and Money Etiquette",492,428,64
8,7,2026-02-22,The Future of Money,491,430,61
9,1,2026-02-23,Taking Care of Yourself,488,421,67
9,2,2026-02-24,Sleep and Recovery,490,447,43
9,3,2026-02-25,Mental Health at Work,491,446,45
9,4,2026-02-26,Eating Well Without Obsessing,489,437,52
9,5,2026-02-27,When You Get Sick,487,424,63
9,6,2026-02-28,Exercise and Finding What Works,493,452,41
9,7,2026-03-01,Building Lasting Health Habits,490,453,37
10,1,2026-03-02,My Week: Talking About Time and Schedules,518,429,89
10,2,2026-03-03,The Power of Morning Routines,524,485,39
10,3,2026-03-04,Managing Time at Work,511,436,75
10,4,2026-03-05,After Work: How We Spend Our Evenings,507,447,60
10,5,2026-03-06,"Weekends: Rest, Play, and Meaning",513,473,40
10,6,2026-03-07,Slow Living and Doing Less,516,490,26
10,7,2026-03-08,Women's Time: Invisible Labor and Reclaiming Your Hours,521,475,46
11,1,2026-03-09,Good Friends: What Makes a Great Friendship,512,472,40
11,2,2026-03-10,Making New Friends as an Adult,519,489,30
11,3,2026-03-11,Long-Distance Friendships,508,455,53
11,4,2026-03-12,Conflict and Repair in Friendship,514,501,13
11,5,2026-03-13,Friendship and Social Media,510,480,30
11,6,2026-03-14,What Makes a Best Friend,516,520,-4
11,7,2026-03-15,Friendship Across Differences,513,462,51
12,1,2026-03-16,What Family Means Today,489,445,44
12,2,2026-03-17,Growing Up and Looking Back,487,470,17
12,3,2026-03-18,Siblings: Competition and Closeness,488,441,47
12,4,2026-03-19,Parenting Styles and Their Effects,491,427,64
12,5,2026-03-20,Caring for Aging Parents,490,442,48
12,6,2026-03-21,Family Conflict and How to Navigate It,488,499,-11
12,7,2026-03-22,Creating New Family Traditions,487,446,41
13,1,2026-03-23,Colleagues and the Art of Working Together,490,451,39
13,2,2026-03-24,Managers and Being Managed,488,466,22
13,3,2026-03-25,Office Politics and How to Navigate Them,487,466,21
13,4,2026-03-26,Giving and Receiving Feedback,491,461,30
13,5,2026-03-27,Remote Teams and Digital Work Culture,488,453,35
13,6,2026-03-28,"Mentors, Role Models, and Who We Learn From",489,471,18
13,7,2026-03-29,Leaving a Job Gracefully,487,444,43
14,1,2026-03-30,Making Friends as an Adult,490,474,16
14,2,2026-03-31,Social Energy and Knowing Your Limits,487,446,41
14,3,2026-04-01,Small Talk and Why It Matters,488,454,34
